Date,SPX Open,SPX Low,SPX High,SPX Close
23/11/1994,450.01,444.18,450.64,449.93
22/11/1994,457.95,450.08,458.30,450.09
21/11/1994,461.69,457.55,463.41,458.30
18/11/1994,463.60,460.25,463.84,461.47
17/11/1994,465.71,461.47,465.83,463.56
16/11/1994,465.06,464.28,466.25,465.60
15/11/1994,466.04,462.95,468.51,465.03
14/11/1994,462.44,462.35,466.29,466.04
11/11/1994,464.17,461.45,464.37,462.35
10/11/1994,465.40,463.73,467.79,464.37
09/11/1994,465.65,463.44,469.95,465.40
08/11/1994,463.08,463.07,467.54,465.65
07/11/1994,462.31,461.25,463.56,463.07
04/11/1994,467.96,462.28,469.28,462.28
03/11/1994,466.50,466.40,468.64,467.91
02/11/1994,468.41,466.36,470.92,466.50
01/11/1994,472.26,467.64,472.26,468.42
31/10/1994,473.76,472.33,474.74,472.35
28/10/1994,465.84,465.80,473.78,473.77
27/10/1994,462.68,462.62,465.85,465.85
26/10/1994,461.55,461.22,463.77,462.62
25/10/1994,460.83,458.26,461.95,461.53
24/10/1994,464.89,460.80,466.37,460.83
21/10/1994,466.69,463.83,466.85,464.89
20/10/1994,470.37,465.39,470.37,466.85
19/10/1994,467.69,465.96,471.43,470.28
18/10/1994,469.02,466.54,469.19,467.66
17/10/1994,469.11,468.16,469.88,468.96
14/10/1994,467.78,466.11,469.53,469.10
13/10/1994,465.56,465.47,471.30,467.77
12/10/1994,465.78,464.79,466.70,465.47
11/10/1994,459.04,459.04,466.34,465.79
10/10/1994,455.12,455.10,459.29,459.04
07/10/1994,452.37,452.13,455.67,455.10
06/10/1994,453.52,452.13,454.49,452.36
05/10/1994,454.56,449.27,454.59,453.52
04/10/1994,461.77,454.03,462.46,454.59
03/10/1994,462.69,460.33,463.31,461.74
30/09/1994,462.27,461.91,465.30,462.69
29/09/1994,464.84,461.51,464.84,462.24
28/09/1994,462.10,462.05,465.55,464.84
27/09/1994,460.82,459.83,462.75,462.05
26/09/1994,459.65,459.31,460.87,460.82
23/09/1994,461.27,459.01,462.14,459.67
22/09/1994,461.45,460.96,463.22,461.27
21/09/1994,463.42,458.47,464.02,461.46
20/09/1994,470.83,463.36,470.85,463.36
19/09/1994,471.21,470.68,473.15,470.85
16/09/1994,474.81,470.06,474.81,471.19
15/09/1994,468.80,468.79,474.81,474.81
14/09/1994,467.55,466.82,468.86,468.80
13/09/1994,466.27,466.21,468.76,467.51
12/09/1994,468.18,466.15,468.42,466.21
09/09/1994,473.13,466.55,473.14,468.18
08/09/1994,470.96,470.86,473.40,473.14
07/09/1994,471.86,470.20,472.41,470.96
06/09/1994,471.00,469.64,471.92,471.86
02/09/1994,473.20,470.67,474.89,470.99
01/09/1994,475.49,471.74,475.49,473.17
31/08/1994,476.07,474.43,477.59,475.49
30/08/1994,474.59,473.56,476.61,476.07
29/08/1994,473.89,473.80,477.14,474.59
26/08/1994,468.08,468.08,474.65,473.80
25/08/1994,469.07,467.64,470.12,468.08
24/08/1994,464.51,464.51,469.05,469.03
23/08/1994,462.39,462.32,466.58,464.51
22/08/1994,463.61,461.46,463.68,462.32
19/08/1994,463.25,461.81,464.37,463.68
18/08/1994,465.10,462.30,465.17,463.17
17/08/1994,465.11,464.57,465.91,465.17
16/08/1994,461.22,459.89,465.20,465.01
15/08/1994,461.97,461.21,463.34,461.23
12/08/1994,458.88,458.87,462.27,461.94
11/08/1994,460.31,456.88,461.41,458.88
10/08/1994,457.98,457.93,460.48,460.30
09/08/1994,457.89,456.66,458.16,457.93
08/08/1994,457.08,457.01,458.30,457.89
05/08/1994,458.34,456.08,458.40,457.09
04/08/1994,461.45,458.40,461.49,458.40
03/08/1994,460.65,459.51,461.46,461.45
02/08/1994,461.01,459.70,462.77,460.56
01/08/1994,458.28,458.08,461.01,461.01
29/07/1994,454.24,454.23,459.34,458.26
28/07/1994,452.57,452.28,454.93,454.24
27/07/1994,453.36,451.36,453.38,452.57
26/07/1994,454.25,452.78,454.25,453.36
25/07/1994,453.10,452.76,454.32,454.25
22/07/1994,452.61,452.33,454.03,453.11
21/07/1994,451.60,451.00,453.22,452.61
20/07/1994,453.89,450.69,454.16,451.60
19/07/1994,455.22,453.86,455.30,453.86
18/07/1994,454.41,453.26,455.71,455.22
15/07/1994,453.41,452.80,454.33,454.16
14/07/1994,448.73,448.73,454.33,453.41
13/07/1994,448.03,447.95,450.06,448.73
12/07/1994,448.02,444.65,448.16,447.95
11/07/1994,449.56,445.27,450.24,448.06
08/07/1994,448.38,446.53,449.75,449.55
07/07/1994,446.15,446.13,448.64,448.38
06/07/1994,445.29,444.18,447.28,446.13
05/07/1994,446.20,445.14,447.62,446.37
01/07/1994,444.27,443.58,446.45,446.20
30/06/1994,447.63,443.66,448.61,444.27
29/06/1994,446.05,446.04,449.83,447.63
28/06/1994,447.36,443.08,448.47,446.07
27/06/1994,442.78,439.83,447.76,447.31
24/06/1994,449.63,442.51,449.63,442.80
23/06/1994,453.09,449.43,454.16,449.63
22/06/1994,451.40,451.34,453.91,453.09
21/06/1994,455.48,449.45,455.48,451.34
20/06/1994,458.45,454.46,458.45,455.48
17/06/1994,461.93,458.44,462.16,458.45
16/06/1994,460.61,459.80,461.93,461.93
15/06/1994,462.38,459.95,463.23,460.61
14/06/1994,459.10,459.10,462.52,462.37
13/06/1994,458.67,457.18,459.36,459.10
10/06/1994,457.86,457.36,459.48,458.67
09/06/1994,457.06,455.86,457.87,457.86
08/06/1994,458.21,455.43,459.74,457.06
07/06/1994,458.88,457.65,459.46,458.21
06/06/1994,460.13,458.85,461.87,458.88
03/06/1994,457.65,456.27,460.86,460.13
02/06/1994,457.62,457.26,458.50,457.65
01/06/1994,456.50,453.99,458.29,457.63
31/05/1994,457.32,455.16,457.61,456.50
27/05/1994,457.03,454.67,457.33,457.33
26/05/1994,456.33,455.79,457.77,457.06
25/05/1994,454.84,452.20,456.34,456.34
24/05/1994,453.21,453.20,456.77,454.81
23/05/1994,454.92,451.78,454.93,453.20
20/05/1994,456.48,454.22,456.48,454.92
19/05/1994,453.69,453.00,456.88,456.48
18/05/1994,449.39,448.87,454.45,453.69
17/05/1994,444.49,443.70,449.37,449.37
16/05/1994,444.15,443.62,445.82,444.49
13/05/1994,443.62,441.21,444.72,444.14
12/05/1994,441.50,441.49,444.80,443.75
11/05/1994,446.03,440.78,446.03,441.49
10/05/1994,442.37,442.32,446.84,446.01
09/05/1994,447.82,441.84,447.82,442.32
06/05/1994,451.37,445.64,451.38,447.82
05/05/1994,451.76,450.72,452.82,451.38
04/05/1994,453.04,449.87,453.11,451.72
03/05/1994,453.06,450.51,453.98,453.03
02/05/1994,450.91,449.05,453.57,453.02
29/04/1994,449.07,447.91,451.35,450.91
28/04/1994,451.84,447.97,452.23,449.10
26/04/1994,452.71,450.66,452.79,451.87
25/04/1994,447.64,447.58,452.71,452.71
